"subject","exemplarOf","spatial","owns","holdingAgent","identifiers"
"https://collection.rcgs.jp/resource/ITEM0020906","https://collection.rcgs.jp/resource/PACKAGE0023617","D87","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0022275"
"https://collection.rcgs.jp/resource/ITEM0021116","https://collection.rcgs.jp/resource/PACKAGE0023804","A200","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0022604"
"https://collection.rcgs.jp/resource/ITEM0010917","https://collection.rcgs.jp/resource/PACKAGE0010170","A136","https://collection.rcgs.jp/resource/AGENT0002935","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0020562|E-lb-22|S14019"
"https://collection.rcgs.jp/resource/ITEM0021114","https://collection.rcgs.jp/resource/PACKAGE0023802","A200","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0022630"
"https://collection.rcgs.jp/resource/ITEM0007766","https://collection.rcgs.jp/resource/PACKAGE0008120","D63","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0012395|S11389"
"https://collection.rcgs.jp/resource/ITEM0007767","https://collection.rcgs.jp/resource/PACKAGE0008121","D63","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0012396|S11391"
"https://collection.rcgs.jp/resource/ITEM0009336","https://collection.rcgs.jp/resource/PACKAGE0009580","C78","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013810|S12573"
"https://collection.rcgs.jp/resource/ITEM0009337","https://collection.rcgs.jp/resource/PACKAGE0009581","C78","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013803|S12574"
"https://collection.rcgs.jp/resource/ITEM0011237","https://collection.rcgs.jp/resource/PACKAGE0009551","D77","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0014081|S14324"
"https://collection.rcgs.jp/resource/ITEM0003902","https://collection.rcgs.jp/resource/PACKAGE0005467","D7","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0003908|S7454"
"https://collection.rcgs.jp/resource/ITEM0008459","https://collection.rcgs.jp/resource/PACKAGE0005220","D50","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0014908|S11009"
"https://collection.rcgs.jp/resource/ITEM0003572","https://collection.rcgs.jp/resource/PACKAGE0002324","C56","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0003578|S7131"
"https://collection.rcgs.jp/resource/ITEM0008023","https://collection.rcgs.jp/resource/PACKAGE0008405","A104","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0012663|S11550"
"https://collection.rcgs.jp/resource/ITEM0009287","https://collection.rcgs.jp/resource/PACKAGE0009532","D76","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0014074|S12525"
"https://collection.rcgs.jp/resource/ITEM0009288","https://collection.rcgs.jp/resource/PACKAGE0009533","D76","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0014076|S12526"
"https://collection.rcgs.jp/resource/ITEM0008686","https://collection.rcgs.jp/resource/PACKAGE0008920","A114","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013267|S12040"
"https://collection.rcgs.jp/resource/ITEM0001361","https://collection.rcgs.jp/resource/PACKAGE0001200","A39","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0001360|S4967"
"https://collection.rcgs.jp/resource/ITEM0003542","https://collection.rcgs.jp/resource/PACKAGE0002222","C55","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0003548|S7101"
"https://collection.rcgs.jp/resource/ITEM0008569","https://collection.rcgs.jp/resource/PACKAGE0008810","D74","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0012991|S11927"
"https://collection.rcgs.jp/resource/ITEM0009076","https://collection.rcgs.jp/resource/PACKAGE0009324","A118","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013724|S12343"
"https://collection.rcgs.jp/resource/ITEM0006510","https://collection.rcgs.jp/resource/PACKAGE0007337","D27","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0010663|S9808"
"https://collection.rcgs.jp/resource/ITEM0007363","https://collection.rcgs.jp/resource/PACKAGE0003765","C116","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0011967|S10750"
