通しNo,目録データファイル名,目録データプロパティ,パス,説明,サンプルデータ,クラスマッピングNo.,MADBマッピング（クラス）,MADBマッピング（原データ：プロパティ名）,加工仕様,加工後サンプルデータ,注記,入力日,入力者,更新日
355,rcgs_relatedinstance_sparql_2310.csv,manufacturer,-,リソースを製造した主体,,9,ゲーム関連資料,,,,,,,
356,rcgs_relatedinstance_sparql_2310.csv,seriesStatement,-,リソースが属するシリーズのタイトルやシリーズ内ナンバーの表示,月刊アミューズメント・ジャーナル ; 18(3)=203,9,ゲーム関連資料,シリーズ名,,,,,,
357,rcgs_relatedinstance_sparql_2310.csv,subseriesStatement,-,リソースが属するサブシリーズのタイトルやサブシリーズ内ナンバーの表示,,9,ゲーム関連資料,シリーズ名,,,,,,
358,rcgs_relatedinstance_sparql_2310.csv,modeOfIssuance,-,単独、複数部分での発行、更新方法ないしは終了の決定を反映した分類,http://rdaregistry.info/termList/ModeIssue/1003,9,ゲーム関連資料,概要,"値があるときは冒頭に""刊行形式:△""を追加する",,,,,
359,rcgs_relatedinstance_sparql_2310.csv,publicationPeriodicity,-,リソースの刊行の頻度の分類,http://rdaregistry.info/termList/frequency/1008,9,ゲーム関連資料,概要,"値があるときは冒頭に""刊行頻度:△""を追加する",,,,,
360,rcgs_relatedinstance_sparql_2310.csv,serialNumber,-,シリアルにおける部分を示す順番に基づく指定,第18巻 第3号 (通巻203号),9,ゲーム関連資料,,,,,,,
361,rcgs_relatedinstance_sparql_2310.csv,volumeNumber,-,シリアルにおける出版の巻の指定、もしくは整数による号の指定,18,9,ゲーム関連資料,巻,,,,,,
362,rcgs_relatedinstance_sparql_2310.csv,issueNumber,-,シリアルにおける出版の号の指定,3,9,ゲーム関連資料,号,,,,,,
363,rcgs_relatedinstance_sparql_2310.csv,price,-,リソースの供給者による希望小売価格,"定価 1,650円",9,ゲーム関連資料,価格,,,,,,
364,rcgs_relatedinstance_sparql_2310.csv,downloadUrl,-,リソースを取得するためのウェブサイト,,9,ゲーム関連資料,URL,,,,,,
365,rcgs_relatedinstance_sparql_2310.csv,created,-,リソースの創作に関する日付,,9,ゲーム関連資料,概要,"値があるときは冒頭に""作成日:△""を追加する",,,,,
366,rcgs_relatedinstance_sparql_2310.csv,locationCreated,-,リソースの創作に関する場所,,9,ゲーム関連資料,制作地,,,,,,
367,rcgs_relatedinstance_sparql_2310.csv,thumbnailUrl,-,ゲームパッケージのサムネイル画像,,9,ゲーム関連資料,サムネイル,,,,,,
368,rcgs_relatedinstance_sparql_2310.csv,source,-,メタデータの情報源,,9,ゲーム関連資料,データ出典,,,,,,
369,,N/A,-,,,9,ゲーム関連資料,タイプ,"""GameRelatedInstance""を記録する",GameRelatedInstance,,,,
370,,N/A,-,,,9,ゲーム関連資料,サブタイプ,"""gm""を記録する",gm,,,,
371,,N/A,-,,,9,ゲーム関連資料,ジャンル,"""ゲーム関連資料""を記録する",ゲーム関連資料,,,,
372,,N/A,-,,,6,ゲーム個別資料,データ提供者,"""国立国会図書館""を記録する",国立国会図書館,,,,
373,ndl_item_18to25_修正,seeAlso,-,[NDLオンラインの当該リソースへのリンク],http://id.ndl.go.jp/bib/031510345,6,ゲーム個別資料,提供データURL,,http://id.ndl.go.jp/bib/031510345,,,,
374,ndl_item_18to25_修正,seeAlso,-,[NDLオンラインの当該リソースへのリンク],http://id.ndl.go.jp/bib/031510345,6,ゲーム個別資料,例示されたパッケージ,提供データURLにこの値（例えばサンプルデータ）が記録されるゲームパッケージのMADB IDが記録される,M761703,個別資料とゲームパッケージをつなぐ重要な項目です,,,
375,,N/A,-,,,5,ゲームパッケージ,データ提供者,"""国立国会図書館""を記録する",国立国会図書館,,,,
376,ndl_package_18to25(1).csv,seeAlso,-,[NDLオンラインの当該リソースへのリンク],http://id.ndl.go.jp/bib/031510345,5,ゲームパッケージ,提供データURL,,http://id.ndl.go.jp/bib/031510345,,,,
